id,de,en,es,fr,phe,kcal,protein,fat,carbs,sugar,fiber,salt,emoji
W149100,Lammfleisch-Salami,Lamb salami,Salami de cordero,Salami d'agneau,0.862,371,21.22,31.75,0,0,0.11,3.8,🌭
Y840443,Himbeerkompott,Raspberry compote,Compota de frambuesa,Compote de framboises,0.031,70,0.8,0.248,12.9,12.9,3.9,0.002,🍮
B314200,Mehrkorntoastbrot mit Ölsamen,Multigrain toast,Pan de molde multicereal con semillas oleaginosas,Pain de mie multicéréales aux graines oléagineuses,0.458,282,9.58,5.6,46,1.7,4.6,1.105,🍞
K709152,Hallimasch gedünstet,Dark honey mushroom stewed,Seta de miel rehogada,Armillaire couleur de miel étuvée,0.151,53,4.466,0.958,4.2,0.3,7.761,0.14552,🥔
D753200,Kokosschnitten (Rührmasse),Coconut square (cake batter),Cortadillos de coco (masa batida),Carrés à la noix de coco (pâte à cake),0.344,473,6.81,32.68,36.1,21.4,3.87,0.48,🥥
Y184412,Rinderfilet gebraten im Ofen (mit Fett und Salz),Beef fillet fried in oven (with fat and salt),Solomillo de vacuno asado al horno (con grasa y sal),Filet de bœuf rôti au four (avec matière grasse et sel),1.198,158,25.401,6.245,0,0,0,0.528,🍖
T411700,Lachs gesalzen,Salmon salted,Salmón salado,Saumon salé,0.89,207,22.127,13.145,0,0,0,2.9955,🐟
B121200,Roggenvollkornbrot mit Nüssen,Wholemeal rye bread with nuts,Pan integral de centeno con nueces,Pain complet de seigle aux noix,0.249,214,5.98,3.91,33,1.084,11.4,1.092,🍞
U861142,"Schaf Bug/Schulter, mager, geschmort ohne Fett","Sheep shoulder, lean, braised without fat","Oveja, paleta, magra, estofada sin grasa","Mouton, épaule, maigre, braisée sans matière grasse",1.19,193,29.2,8.45,0,0,0,0.165,🍖
X9A6040,"Hefeteig, gesalzen, mit Milch 3,5 % Fett, roh","Yeast dough, salted, with milk 3.5 % fat, raw","Masa de levadura salada, con leche 3,5 % grasa, cruda","Pâte levée salée, au lait 3,5 % de matière grasse, crue",0.404,348,8.5,12.81,48,1.54,3.53,0.33,🥛
T213182,"Alaska-Pollack/Alaska-Seelachs, gebraten ohne Fett (Pfanne)",Alaska pollock fried without fat (pan),"Abadejo de Alaska, frito sin grasa (sartén)","Colin d'Alaska, poêlé sans matière grasse",0.61,67,14.6,0.92,0,0,0,0.29,🐟
W221100,Bratwurst-Grundbrät,Bratwurst sausage meat,Pasta base para Bratwurst,Chair de base pour Bratwurst,0.96102,267,12.47,24.1,0.09,0,0.05,1.907,🌭
X951312,Hirse gedünstet (mit Fett und Salz),Millet stewed (with fat and salt),Mijo rehogado (con grasa y sal),Millet étuvé (avec matière grasse et sel),0.24,162,4.37,4.78,24.8,0.213,1.26,0.2202,🌾
T122200,Weißer Thun tiefgefroren,Albacore deep-frozen,Atún blanco congelado,Germon surgelé,1,121,27.2,1.37,0,0,0,0.1942,🐟
U235162,"Rind Hochrippe, gebraten ohne Fett (Ofen)","Beef forerib/prime rib, fried without fat (oven)","Vacuno, lomo alto (costillar) asado sin grasa (horno)","Bœuf, côtes découvertes, rôties sans matière grasse (four)",1.39,204,29.445,9.612,0,0,0,0.162,🦴
B6A2500,Roggenvollkornknäckebrot mit Gerstenmalz,Wholemeal rye crispbread with barley malt,Pan crujiente sueco integral de centeno con malta de cebada,Pain croustillant suédois complet de seigle au malt d'orge,0.4,332,9.3,1.33,60.6,4.5,19.05,1.238,🍞
Y241033,Kalbsgulasch,Veal goulash,Gulash de ternera,Goulasch de veau,0.6,105,15.3,4.2,1.3,0.7,0.3,0.76,🍲
D9A2400,Stollen (Vollkornhefeteig),Wholemeal yeast stollen,Stollen (masa de levadura integral),Stollen (pâte levée complète),0.31,378,6.9,18.2,43,22.8,6.2,0.54,🍰
G620600,Gemüsesaft aus Karotte/Möhre,Carrot juice,Zumo de zanahoria,Jus de carotte,0.026,22,0.63,0.32,3.717,3.636,0.3,0.091,🧃
Y238023,Kalbsrücken gebraten im Ofen,Veal loin fried in oven,Lomo de ternera asado al horno,Longe de veau rôtie au four,1.262,151,26.76,4.83,0.01,0,0,0.585,🍖
T204172,"Dorsch/Kabeljau, gegrillt",Cod grilled,"Bacalao, a la parrilla","Cabillaud, grillé",0.933,106,23.9,1.1,0,0,0,0.248,🐟
H210710,"Mandel süß, geröstet mit Fett, gesalzen","Sweet almond roasted with fat, salted","Almendra dulce, tostada con grasa, salada","Amande douce, grillée avec matière grasse, salée",1.102,557,21.216,48.643,3.75,3.522,9.7,0.832,🥜
D733500,Schwarz-Weiß-Gebäck (Mürbeteig),Black-and-white chequerboard biscuits (shortcrust pastry),Galletas en damero (masa quebrada),Biscuits damier (pâte sablée),0.329,460,6.78,19.82,62.2,30.63,3,0.22,🌾
S342000,Fruchtgummi zuckerfrei,Fruit gum sugar-free,Gominolas sin azúcar,Bonbons gélifiés aux fruits sans sucre,0.163,220,7.7,0,77,0.095,0.005,0.038,🍬
P285100,"Weißwein-Schorle, süß, mit Zitronenlimonade",White wine spritzer with carbonated lemonade,"Vino blanco con refresco de limón, dulce","Vin blanc à la limonade, doux",0,51,0.051,0,4.7,4.7,0,0.012,🍷
W164100,Schinkenwurst Krakauer Art (Rohwurst),Ham bologna Krakow style raw,Embutido de jamón estilo Cracovia (embutido crudo),Saucisse au jambon façon Cracovie (saucisse crue),1.619,293,24.13,21.75,0.18,0,0.1,3.8,🌭
B717000,Hirsebrot glutenfrei,Millet bread gluten-free,Pan de mijo sin gluten,Pain de millet sans gluten,0.35,229,7.4,4.7,37.2,1,4.3,1.07,🍞
B491000,Dinkelvollkornbrötchen,Wholemeal spelt roll,Panecillo integral de espelta,Petit pain complet d'épeautre,0.5,285,10.8,3.63,48,1.6,8.16,1.47,🥖
F130152,Birne gedünstet,Pear stewed,Pera rehogada,Poire étuvée,0.008,60,0.309,0.299,13.56,10.38,2.9,0.002005,🍐
Y661012,"Barsch Müllerinart (mehliert, gebraten)","Perch floured, fried","Perca a la molinera (enharinada, frita)","Perche meunière (farinée, poêlée)",0.823,97,17.6,1.3,2.83,0.439,0.38,0.342,🐟
S135000,Marmelade (hergestellt aus Zitrusfrüchten),Marmalade,Mermelada (de cítricos),Marmelade (d'agrumes),0.01,240,0.5,0.1,57.8,57.8,1.2,0.01,🍓
X987712,Grünkern gekocht (mit Fett und Salz),Green spelt boiled (with fat and salt),Espelta verde cocida (con grasa y sal),Épeautre vert cuit (avec matière grasse et sel),0.227,199,5.65,4.8,30.22,1.26814,6.21,0.3712,🌾
D461700,Butterkuchen/Zuckerkuchen (Hefeteig),German butter cake (yeast dough),Pastel de mantequilla/pastel de azúcar (masa de levadura),Gâteau au beurre/gâteau au sucre (pâte levée),0.445,429,8.96,21.09,49,17.56,3.5,0.078,🍰
G570182,Zuckermais gebraten ohne Fett (Pfanne),Sweetcorn fried without fat (pan),Maíz dulce frito sin grasa (sartén),Maïs doux poêlé sans matière grasse,0.23,77,3.77,1.414,10.8,3.91,3.2,0.005,🌽
Y847750,Heidelbeeren gezuckert,Blueberries sugared,Arándanos azucarados,Myrtilles sucrées,0.008,82,0.5,0.562,15.35,15.35,4.6,0.005,🫐
D655100,Feiner Honigkuchen,Fine gingerbread cake,Pastel de miel fino,Gâteau au miel fin,0.377,337,7.48,6.7,59.9,36.4,3.1,0.088,🍰
X5A9040,Rote-Bete-Gemüse gedünstet,Beetroot stewed,Remolacha rehogada,Betterave rouge étuvée,0.02,59,1.34,3.4,4.85,4.85,1.5,0.315,🥕
W153100,"Mettwurst luftgetrocknet, energiereduziert","Mettwurst sausage firm air dried, reduced-fat","Mettwurst firme, secada al aire, reducida en calorías","Mettwurst ferme, séchée à l'air, allégée en calories",2.392,218,26.45,12.47,0,0,0.17,3.8,🌭
Y211022,Kalbsfilet gebraten im Ofen,Veal fillet fried in oven,Solomillo de ternera asado al horno,Filet de veau rôti au four,1.137,151,28.7,3.98,0.02,0,0.01,0.605,🍖
S694000,Trockenfrüchte mit Vollmilchschokoladenüberzug,Whole milk chocolate covered dried fruits,Frutas secas con cobertura de chocolate con leche entera,Fruits séchés enrobés de chocolat au lait entier,0.2,426,4.5,17.8,58.8,57.9,3.6,0.12,🍫
D610100,Russisch-Brot (Eiklarmasse),Russian bread letter-shaped biscuits (meringue),«Russisch Brot» galletas con forma de letra (merengue),« Russisch Brot » biscuits en forme de lettres (meringue),0.545,383,9.7,0.92,82.4,49.052,3.08,0.298,🥚
B121300,Roggenvollkornbrot mit Ölsamen,Wholemeal rye bread with oilseeds,Pan integral de centeno con semillas oleaginosas,Pain complet de seigle aux graines oléagineuses,0.279,207,6.44,2.9,33,1.015,11.7,1.095,🍞
Y311112,"Schweinefilet geschmort, mit Sauce","Pork fillet braised, with sauce","Solomillo de cerdo estofado, con salsa","Filet de porc braisé, avec sauce",0.62,120,13.8,6.7,0.83,0.82,0.3,0.372,🍖
Y497113,"Lammkeule gebraten im Ofen provenzalische Art, mit Sauce","Leg of lamb fried in oven Provencal style, with sauce","Pierna de cordero asada al horno a la provenzal, con salsa","Gigot d'agneau rôti au four à la provençale, avec sauce",0.955,180,23.55,9.44,0.02,0.02,0.36,0.668,🍖
Y182912,Gulasch einfach (mit Rindfleisch),Beef goulash simple,Gulash sencillo (con carne de vacuno),Goulasch simple (au bœuf),0.6,133,13.2,7.5,3,0.7,0.3,0.688,🍲
T020172,Tintenfisch gegrillt,Common cuttlefish grilled,Sepia a la parrilla,Seiche grillée,0.949,107,23.549,1.46,0,0,0,1.445,🦑
B526500,Roggenbrötchen mit Sonnenblumenkernen,Rye roll with sunflower seeds,Panecillo de centeno con pipas de girasol,Petit pain de seigle aux graines de tournesol,0.411,281,9.09,5.3,45,0.952,8.49,1.315,🥖
D621200,Waffelkekse,Waffle biscuits,Galletas de barquillo,Biscuits gaufrettes,0.276,295,5.44,13.02,37.9,18.5,2.1,0.07,🧇
U672800,"Schwein Vordereisbein/Vorderhaxe, Kochpökelware",Pork foreshank (hock) cooked cured,"Cerdo, codillo delantero, curado cocido","Porc, jarret avant, salaison cuite",0.71362,155,19.74,8.2,0.439,0.439,0,1.8,🍖
V486172,"Pute Brust, ohne Haut, gegrillt","Turkey breast, without skin, grilled","Pavo, pechuga sin piel, a la parrilla","Dinde, poitrine sans peau, grillée",1.158,139,31.711,1.303,0,0,0,0.135,🍗
T501400,Karpfen gesalzen,Carp salted,Carpa salada,Carpe salée,0.996,136,20.147,6.12,0,0,0,2.205,🐟
T206152,Schellfisch gedünstet,Haddock stewed,Eglefino rehogado,Églefin étuvé,0.735,71,16.4,0.59,0,0,0,0.185,🐟
B121600,Roggenvollkornbrot mit Quark,Wholemeal rye bread with quark,Pan integral de centeno con requesón,Pain complet de seigle au fromage blanc,0.265,192,6.2,0.84,34,1.2,11.63,1.145,🧀
C335032,Amaranth gekocht,Amaranth boiled,Amaranto cocido,Amarante cuite,0.2,119,4.48,1.79,19.88,0.41375,2.79,0.00082,🌾
Y5A3000,Hühnerleber gebraten,Chicken liver fried,Hígado de pollo frito,Foie de poulet poêlé,0.952,149,19.97,6.39,2.77,1.32,0.3,0.72,🍗
S570800,Bitterschokolade gefüllt mit Pfefferminzcreme,Dark chocolate filled with peppermint cream,Chocolate negro relleno de crema de menta,Chocolat noir fourré à la crème de menthe,0.17859,504,5.46,24.8,52.1,30.8,6.07,0.012,🍫
D655200,Ostpreußischer Honigkuchen,East-Prussian gingerbread cake,Pastel de miel de Prusia Oriental,Gâteau au miel de Prusse-Orientale,0.318,406,6.44,10.88,69.14,35.752,2.46,0.092,🍰
B227300,Roggenbrot mit Buttermilch,Rye bread with buttermilk,Pan de centeno con suero de mantequilla,Pain de seigle au babeurre,0.252,209,5.9,0.82,40,1.32,8.89,1.192,🥛
G350162,Romanesco gebacken,Romanesco broccoli baked,Romanesco al horno,Romanesco cuit au four,0.11,50,3.414,0.394,7.52,3.05,4.1,0.042,🥦
X9A2050,"Polenta (Maisbrei mit Wasser, Rapsöl und Salz) gekocht","Polenta (maize porridge prepared with water, rapeseed oil and salt) boiled","Polenta (sémola de maíz con agua, aceite de colza y sal) cocida","Polenta (semoule de maïs à l'eau, huile de colza et sel) cuite",0.081,114,1.703,6.035,12.351,0.274,1.851,0.432,🥣
B8B6000,Dinkelknusperbrot,Spelt crackerbread,Pan crujiente de espelta,Pain croustillant d'épeautre,0.622,395,13.34,5.7,69.3,0.5,6.6,0.78,🍞
U931900,"Corned Beef, deutsches, mit Schweineschwarten Konserve","German corned beef, with pork rind, canned","Corned beef alemán, con corteza de cerdo, conserva","Corned-beef allemand, avec couenne de porc, conserve",0.939,159,25.1,6.4,0.29,0,0.08,2.2,🥩
C415000,Mehlmischung für Brot glutenfrei,Flour mix for bread gluten-free,"Mezcla de harinas para pan, sin gluten","Mélange de farines pour pain, sans gluten",0.199,342,4.1,0.7,78.2,2.7,3,0.39,🌾
T420252,"Forelle tiefgefroren, gedünstet","Trout deep-frozen, stewed","Trucha congelada, rehogada","Truite surgelée, étuvée",0.696,118,17.768,5.048,0,0,0,0.278,🐟
H730132,"Linse reif, gekocht","Lentil mature, boiled","Lenteja madura, cocida","Lentille mûre, cuite",0.544,119,9.083,0.7,15.5,0.5,7.23,0.0012,🫘
X081943,"Käsebrot überbacken (""Welsh rarebit"")","Cheese toast baked ""Welsh rarebit""",Pan con queso gratinado («Welsh rarebit»),Pain au fromage gratiné (« Welsh rarebit »),1,319,19.2,17.69,18.64,0.69,2.9,1.835,🧀
S132100,"Konfitüre extra, mit Fruchtzucker und Süßungsmitteln","Jam extra quality, with fructose and artificial sweeteners","Confitura extra, con fructosa y edulcorantes","Confiture extra, au fructose et édulcorants",0.012,157,0.4,0.2,36.9,36.9,1.1,0.022,🍓
X441043,Grundsuppe hell,Basic soup light-coloured,Sopa base clara,Potage de base clair,0.03,39,0.7,2.6,3.13,0.6,0.19,0.808,🍲
D4A8300,Marmorkuchen mit Kirschen (Rührmasse),Marble cake (cake batter) with cherries,Pastel marmolado con cerezas (masa batida),Gâteau marbré aux cerises (pâte à cake),0.274,286,5.51,14.79,31.6,14.37,2.02,0.258,🍰
G480600,Gemüsesaft aus Speisezwiebel,Onion juice,Zumo de cebolla,Jus d'oignon,0.03,25,0.983,0.12,4.81,4.81,0.1,0.02,🧃
X081143,"Toastschnitten mit Schinkencreme, gebacken","Toast squares with creamed ham, baked","Tostadas con crema de jamón, horneadas","Toasts à la crème de jambon, cuits au four",0.452,210,10.01,11.52,15.46,3.56,1.4,1.29,🍖
X8A1100,Sushi-Reis (Grundrezept),Sushi rice (ground recipe),Arroz para sushi (receta base),Riz à sushi (recette de base),0.113,104,2.306,0.18,22.7,0.44,0.7,0.102,🍣
X9A1050,Hirsebratlinge gebraten,Millet patties fried,Hamburguesas de mijo fritas,Galettes de millet poêlées,0.36,192,6.6,12,13.4,0.72,1.7,0.57,🍖
Y847650,Erdbeeren gezuckert,Strawberries sugared,Fresas azucaradas,Fraises sucrées,0.024,51,0.789,0.385,9.505,9.447,1.9,0.002,🍓
Y890342,"Kaiserschmarren (mit Milch 3,5 % Fett) gebraten","""Kaiserschmarren"" fried (thick pancake with milk 3.5 % fat, cut into pieces)","Kaiserschmarren (con leche 3,5 % grasa) frito","Kaiserschmarren (au lait 3,5 % de matière grasse) poêlé",0.419,250,8.1,13.2,23.4,7.4,1.4,0.185,🥛
U204000,"Rind Fleisch, grob entsehnt, sichtbarer Fettanteil max. 10 % (R III) roh","Beef meat, tendons coarsly removed, visible fat content max. 10 % (R III) raw","Vacuno, carne desprovista de tendones, grasa visible máx. 10 % (R III) cruda","Bœuf, viande dénervée grossièrement, gras visible max. 10 % (R III) crue",0.949,190,19.93,12.25,0,0,0,0.15,🥩
F323600,Johannisbeersaft schwarz,Black currant juice,Zumo de grosella negra,Jus de cassis,0.034,55,1.238,0.176,10.01,10.01,0.4,0.0024,🧃
S461000,Nonpareille,Nonpareil,Nonpareilles (perlitas de azúcar),Nonpareilles,0.006,388,0.129,0.024,91.4,55.2,0.3,0.008,🍬
U342172,Kalb Schnitzel (Keule) gegrillt,Veal schnitzel (round) grilled,"Ternera, escalope (pierna) a la parrilla","Veau, escalope (cuisse) grillée",1.122,116,26.854,0.915,0,0,0,0.248,🍖
X476650,Buttermilchkaltschale gesüßt,"Cold buttermilk soup, sweetened",Sopa fría de suero de mantequilla endulzada,Soupe froide au babeurre sucrée,0.136,68,3.2,0.6,11.4,10.1,0.7,0.132,🥣
V250182,"Wildschwein Fleisch, gebraten ohne Fett (Pfanne)","Wild boar meat, fried without fat (pan)","Jabalí, carne, frita sin grasa (sartén)","Sanglier, viande, poêlée sans matière grasse",1.209,214,28.068,11.273,0,0,0,0.302,🍖
X382040,Frankfurter grüne Kräutersauce,Frankfurt green herb sauce,Salsa verde de hierbas de Fráncfort,Sauce verte aux herbes de Francfort,0.14,144,2.8,12.9,3.7,3.7,0.1,0.52,🥫
G542132,"Gemüsepaprika gelb, gekocht","Sweet pepper yellow, boiled","Pimiento amarillo, cocido","Poivron jaune, cuit",0.027,28,0.809,0.202,4.471,4.471,2.299,0.002,🫑
S358100,Schokoladenfondant,Chocolate fondant,Fondant de chocolate,Fondant au chocolat,0.04,383,1.8,10.6,69,56,1.99,0.032,🍬
D1A2300,Rhabarber-Streuselkuchen (Mürbeteig),Rhubarb crumble cake (shortcrust pastry),Pastel de ruibarbo con migas (masa quebrada),Gâteau à la rhubarbe au crumble (pâte sablée),0.179,260,3.77,11.74,32.6,13.086,3.05,0.155,🍰
D772100,Schinkenhörnchen (Quarkblätterteig),Ham crescent (puff pastry),Cruasán de jamón (hojaldre con requesón),Croissant au jambon (pâte feuilletée au fromage blanc),0.534,437,11.62,32.62,23.15,0.97,1.7,0.685,🥐
W164000,Schinkenwurst roh,Ham bologna raw,"Embutido de jamón, crudo","Saucisse au jambon, crue",1.71269,386,21.84,33.11,0.18,0,0.1,3.5,🌭
X357160,Meerrettichschaum,Horseradish mousse,Espuma de rábano picante,Mousse de raifort,0.13,174,3.21,15.6,4.8,4.3,0.61,0.35,🥕
D432200,Eiserkuchen (Rührmasse),Hollow wafer sticks (cake batter),Barquillos huecos (masa batida),Gaufrettes roulées (pâte à cake),0.263,292,5.33,11.74,40.56,24.78,1.17,0.105,🍰
M8A4000,"Speisequarkzubereitung mind. 10 % Fett i. Tr., mit Kräutern","Quark preparation min. 10 % fat in dry matter, with herbs","Preparado de requesón mín. 10 % grasa en extracto seco, con hierbas","Préparation de fromage blanc min. 10 % MG sur extrait sec, aux herbes",0.5,77,9.6,2.27,3.8,3.8,0.1,0.81,🍨
W850100,Schinkentorte,Ham pie,Tarta de jamón,Tourte au jambon,0.74,118,19.1,3.8,1,1,0.4,1.6,🍖
C514200,"Knuspermüslimischung, klassisch, gesüßt","Crunchy muesli mix, classic, sweetened","Muesli crujiente, clásico, endulzado","Muesli croustillant, classique, sucré",0.5,421,9,15.95,56.4,19.2,7.7,0.53,🥣
B6A1300,Weizenvollkornknäckebrot mit Ölsamen,Wholemeal wheat crispbread with oilseeds,Pan crujiente sueco integral de trigo con semillas oleaginosas,Pain croustillant suédois complet de blé aux graines oléagineuses,0.8,433,16.4,20.3,40,1.4,12.2,1.8,🍞
B551500,Weizenmischbrötchen mit Sonnenblumenkernen,Wheat-rye roll (> 50 % and < 90 % wheat) with sunflower seeds,Panecillo mixto de trigo con pipas de girasol,Petit pain mixte au blé aux graines de tournesol,0.5,303,9.6,5.25,51,1.9,5.95,1.355,🥖
X850123,Risotto gedünstet mit Gemüsebrühe,Risotto stewed with vegetable stock,Risotto rehogado con caldo de verduras,Risotto étuvé au bouillon de légumes,0.14,153,2.87,4.1,25.8,0.98,0.9,0.442,🍲
X425363,Rinderkraftbrühe mit Gemüse,Beef consomme with vegetables,Consomé de vacuno con verduras,Consommé de bœuf aux légumes,0.023,23,0.9,1.5,1.2,1,0.7,0.57,🍲
B256000,Weizenmischbrot mit Ölsamen,Wheat-rye bread (> 50 % and < 90 % wheat) with oilseeds,Pan mixto de trigo con semillas oleaginosas,Pain mixte au blé aux graines oléagineuses,0.367,236,7.98,3.01,41,0.626,6.67,1.15,🍞
Y341023,Gulasch (mit Schweinefleisch),Pork goulash,Gulash (con carne de cerdo),Goulasch (au porc),0.8,150,18.2,8.3,0.6,0.6,0.2,0.538,🍲
T720132,Languste gekocht,"Spiny lobster/rock lobster/crawfish, boiled",Langosta cocida,Langouste cuite,0.685,76,15.926,1.358,0,0,0,0.478,🦐
X568043,"Teltower Rübchen gedünstet, mit Sahne","Turnips ""Teltower Rübchen"" stewed, with cream","Nabitos de Teltow rehogados, con nata","Petits navets de Teltow étuvés, à la crème",0.03,77,0.95,5,5.81,4.74,2,0.395,🥛
M2Q4220,"Milchmischgetränk 1,5 % Fett, mit Kakao/Schokolade, gesüßt, angereichert mit Vitaminen","Milk drink 1.5 % fat, with cocoa/chocolate, sweetened, fortified with vitamins","Bebida láctea 1,5 % grasa, con cacao/chocolate, endulzada, enriquecida con vitaminas","Boisson lactée 1,5 % de matière grasse, au cacao/chocolat, sucrée, enrichie en vitamines",0.163,63,3.61,1.6,8.4,8.34,0.386,0.095,🍫
K706152,Butterpilz gedünstet,Brown-yellow boletus (slippery jack) stewed,Boleto anillado rehogado,Bolet jaune étuvé,0.048,44,3.589,0.507,4.6,0.746,6.31,0.02,🧈
C317032,"Grünkern Grütze, gekocht","Green spelt groats, boiled","Sémola gruesa de espelta verde, cocida","Gruau d'épeautre vert, cuit",0.12,92,3.08,0.74,16.44,0.68987,3.38,0.0005,🌾
Y260912,Kalbsbraten ohne Sauce,Veal roast without sauce,Asado de ternera sin salsa,Rôti de veau sans sauce,0.9,114,21.5,2.2,1.6,1.6,0.5,0.53,🍖
X513263,Steinpilze gebraten mit Tomaten,Porcini mushrooms fried with tomatoes,Boletos salteados con tomate,Cèpes poêlés aux tomates,0.101,63,5.25,1.74,4.27,1.67,6.3,0.278,🍖
D440500,Nusskuchen (Sandmasse),Nut cake (sand cake batter),Pastel de nueces (masa arenosa),Gâteau aux noix (pâte sableuse),0.326,500,6.84,31.79,45.4,27.4,2.6,0.165,🍰
Y8A4090,Schokoladenflammeri/Schokoladenpudding,Chocolate pudding,Natillas de chocolate,Flan au chocolat,0.174,126,3.88,4.04,18.3,12.08,0.2,0.14,🍮
H765082,"Sojaschnetzel/Sojagranulat, texturiert, eingeweicht, gebraten ohne Fett (Pfanne)","Plant-based mince, made from texturised soya protein, plain, soaked, fried without fat (pan)","Soja texturizada en granulado, hidratada, frita sin grasa (sartén)","Protéine de soja texturisée en granulés, réhydratée, poêlée sans matière grasse",0.856,99,14.17,1.8,3.96,3.96,5.31,0.0058,🫘
X890662,Pilaw (Reis mit Zwiebeln und Butter),Pilaf (rice with onions and butter),Pilaf (arroz con cebolla y mantequilla),Pilaf (riz aux oignons et beurre),0.15,167,3.14,4.7,27.4,1.39,1.1,0.548,🍚
G520600,Gemüsesaft aus Gurke,Cucumber juice,Zumo de pepino,Jus de concombre,0.012,12,0.903,0.16,1.57,1.57,0.1,0.008,🧃
B276000,Roggenmischbrot mit Ölsamen,Rye-wheat bread (> 50 % and < 90 % rye) with oilseeds,Pan mixto de centeno con semillas oleaginosas,Pain mixte au seigle aux graines oléagineuses,0.344,236,7.52,2.99,41,0.764,7.47,1.182,🍞
C240132,"Emmer ganzes Korn, gekocht","Emmer wheat whole grain, boiled","Trigo emmer grano entero, cocido","Blé amidonnier grain entier, cuit",0.31,182,6.99,1.18,33.77,0.59474,4.24,0.0008,🌾
D470200,Nusskranz (Quark-Öl-Teig),Nut ring cake (quark oil dough),Corona de nueces (masa de requesón y aceite),Couronne aux noix (pâte au fromage blanc et à l'huile),0.462,405,9.6,21.25,42.1,20.09,3.1,0.53,🧀
G520132,Gurke gekocht,Cucumber boiled,Pepino cocido,Concombre cuit,0.014,17,1.086,0.205,2.01,2.01,1,0.008,🥒
D7A5600,Schokobrötchen (Hefeteig),Roll with chocolate chips (yeast dough),Panecillo con pepitas de chocolate (masa de levadura),Pain au chocolat (pâte levée),0.388,370,8.31,14.33,50,15.5,4.08,0.278,🍫
Y991143,Vanillesahneeis,Vanilla cream ice cream,Helado de nata y vainilla,Glace à la crème et vanille,0.17,292,3.6,25.06,13.04,13.04,0,0.088,🍨
P1A3000,Colabier (Pilsner Bier mit Cola),Pilsner beer mixed with cola,Cerveza con cola (cerveza pilsner con cola),Bière au cola (bière pils et cola),0.007,40,0.211,0,6.259,5.204,0,0.002,🍺
U950200,Schweinebraten (Pulled Pork) Konserve,"Pork roast, canned",Cerdo asado (pulled pork) conserva,Rôti de porc (effiloché) conserve,1.1,197,26.8,7.6,5,2.9,0.3,1.968,🍖
Y610610,Matjes mit Zwiebeln,Matjes herring with onions,Arenque matjes con cebolla,Hareng matjes aux oignons,0.573,170,14,12.01,0.29,0.29,0.1,8.24,🐟
U623172,"Schwein Kotelett (Rücken/cranial) mariniert, gegrillt","Pork loin (cranial part) marinated, grilled","Cerdo, chuleta (lomo craneal) marinada, a la parrilla","Porc, côte (longe crâniale) marinée, grillée",1.016,258,24.66,17.59,0.16,0.15,0.2,1.2,🍖
B6A1400,Weizenvollkornknäckebrot mit Ölsamen und Hartkäse,Wholemeal wheat crispbread with oilseeds and hard cheese,Pan crujiente sueco integral de trigo con semillas oleaginosas y queso curado,Pain croustillant suédois complet de blé aux graines oléagineuses et fromage à pâte dure,0.9,442,19.3,20.8,39,1.1,10.79,1.845,🧀
D6A1000,Basler Leckerli,Basler Leckerli (hard spice biscuit),«Basler Läckerli» galleta dura de especias,« Basler Läckerli » biscuit dur aux épices,0.306,383,6.15,6.9,72.3,51.7,3.4,0.168,🍪
B291000,Mehrkornbrot mit Ölsamen,Multigrain bread,Pan multicereal con semillas oleaginosas,Pain multicéréales aux graines oléagineuses,0.37,248,7.94,3.62,42,0.779,7.67,1.138,🍞
X435163,Käse-Grießnockerl,Cheese-semolina dumplings,Ñoquis de queso y sémola,Quenelles fromage-semoule,0.721,381,13.75,26.89,20.08,0.549,1.44,0.972,🧀
U281142,"Rind Keule, geschmort ohne Fett","Beef round, braised without fat","Vacuno, pierna, estofada sin grasa","Bœuf, cuisse, braisée sans matière grasse",1.166,188,28.6,8.2,0,0,0,0.1195,🍖
B723100,Laugengebäck (Hagelsalz entfernt),Pretzel (visible salt removed),Bollo de lejía (sin sal gruesa),Bretzel (gros sel retiré),0.4,283,9.203,4.145,50,1.4,3.775,2.0935,🥨
U733182,"Schaf Filetsteak, gebraten ohne Fett (Pfanne)","Sheep fillet steak, fried without fat (pan)","Oveja, filete de solomillo, frito sin grasa (sartén)","Mouton, steak de filet, poêlé sans matière grasse",1.4,156,31.38,3.44,0,0,0,0.151,🍖
N210000,Fruchtsaftgetränk Apfel,Fruit juice beverage apple,Bebida de zumo de manzana,Boisson au jus de pomme,0.001,33,0.029,0,8.174,7.874,0.093,0.01,🧃
U867162,"Lamm Bug/Schulter, gebraten ohne Fett (Ofen)","Lamb shoulder, fried without fat (oven)","Cordero, paleta, asada sin grasa (horno)","Agneau, épaule, rôtie sans matière grasse (four)",1.091,155,26.871,5.257,0,0,0,0.212,🍖
D036000,Butterzwieback,Butter rusk,Biscote de mantequilla,Biscotte au beurre,0.624,421,13.21,9.51,68,8.38,5.22,0.715,🍪
X3A5000,Schokoladensauce mit Kuvertüre und Sahne,Chocolate sauce with couverture and cream,Salsa de chocolate con cobertura y nata,Sauce au chocolat de couverture et crème,0.11,317,3.05,22.44,24.3,23.3,2.76,0.042,🥫
Y672713,"Hecht gefüllt, gebacken","Pike filled, baked","Lucio relleno, al horno","Brochet farci, cuit au four",0.87,104,19,2.6,1,0,0.14,0.495,🐟
